gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
female,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,115.5,8425.15,no
male,0,no,no,10,yes,yes,fiber_optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic_check,95.25,1021.55,no
female,0,no,no,5,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,75.55,413.65,yes
female,0,yes,yes,5,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,80.85,356.1,no
female,0,yes,no,18,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.1,370.5,no
male,0,no,no,4,no,no_phone_service,dsl,no,no,no,yes,no,no,month-to-month,no,electronic_check,30.5,118.4,no
male,0,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.1,75.1,no
female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.3,70.3,yes
female,0,no,yes,72,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.75,1567.0,no
female,0,no,no,6,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,yes,credit_card_(automatic),109.9,669.45,yes
female,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,no,yes,yes,no,two_year,no,bank_transfer_(automatic),99.9,7251.7,no
male,0,yes,no,17,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,102.55,1742.5,no
female,0,yes,yes,66,yes,no,dsl,yes,yes,no,yes,no,no,two_year,yes,credit_card_(automatic),58.2,3810.8,no
female,0,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,68.95,119.75,yes
female,0,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.15,84.5,no
male,0,no,yes,3,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,no,mailed_check,70.7,225.65,no
female,0,yes,no,71,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.6,1416.5,no
female,1,no,no,32,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,electronic_check,90.95,2897.95,no
male,0,yes,yes,53,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,105.25,5576.3,no
